"","Spectra from Area #1-Spectrum","Spectra from Area #1-Background","Spectra from Area #1-Modeled","Spectra from Area #1-Residual"
-4.250000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-3.750000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-3.250000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-2.750000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-2.250000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-1.750000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-1.250000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-7.500000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-2.500000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.500000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
7.500000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.250000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.750000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.250000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.750000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.250000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.750000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
4.250000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
4.750000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
5.250000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
5.750000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
6.250000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
6.750000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
7.250000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
7.750000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
8.250000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
8.750000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
9.250000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
9.750000e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.025000e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.075000e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.125000e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.175000e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.225000e+02,1.880000e+02,1.390882e+01,1.390882e+01,1.740912e+02
1.275000e+02,1.680000e+02,1.409678e+01,1.409678e+01,1.539032e+02
1.325000e+02,1.360000e+02,1.428473e+01,1.428473e+01,1.217153e+02
1.375000e+02,1.470000e+02,1.447269e+01,1.447269e+01,1.325273e+02
1.425000e+02,1.430000e+02,1.466065e+01,1.466065e+01,1.283394e+02
1.475000e+02,1.270000e+02,1.484860e+01,1.484860e+01,1.121514e+02
1.525000e+02,1.320000e+02,1.503656e+01,1.503656e+01,1.169634e+02
1.575000e+02,1.340000e+02,1.522452e+01,1.522512e+01,1.187749e+02
1.625000e+02,1.150000e+02,1.541247e+01,1.541379e+01,9.958621e+01
1.675000e+02,1.150000e+02,1.560043e+01,1.560289e+01,9.939711e+01
1.725000e+02,1.400000e+02,1.578839e+01,1.583863e+01,1.241614e+02
1.775000e+02,1.420000e+02,1.597635e+01,1.607280e+01,1.259272e+02
1.825000e+02,1.440000e+02,1.616430e+01,1.636349e+01,1.276365e+02
1.875000e+02,1.530000e+02,1.635226e+01,1.671619e+01,1.362838e+02
1.925000e+02,1.630000e+02,1.654022e+01,1.718717e+01,1.458128e+02
1.975000e+02,1.680000e+02,1.672818e+01,1.784719e+01,1.501528e+02
2.025000e+02,1.760000e+02,1.691613e+01,1.879930e+01,1.572007e+02
2.075000e+02,1.730000e+02,1.710409e+01,2.018798e+01,1.528120e+02
2.125000e+02,1.510000e+02,1.729205e+01,2.220478e+01,1.287952e+02
2.175000e+02,1.540000e+02,1.748001e+01,2.509409e+01,1.289059e+02
2.225000e+02,1.420000e+02,1.766796e+01,2.914891e+01,1.128511e+02
2.275000e+02,1.520000e+02,1.785592e+01,3.469833e+01,1.173017e+02
2.325000e+02,1.500000e+02,1.804388e+01,4.208117e+01,1.079188e+02
2.375000e+02,1.600000e+02,1.823184e+01,5.160705e+01,1.083929e+02
2.425000e+02,1.750000e+02,1.841980e+01,6.350346e+01,1.114965e+02
2.475000e+02,1.590000e+02,1.860775e+01,7.785539e+01,8.114461e+01
2.525000e+02,1.560000e+02,1.879571e+01,9.454549e+01,6.145451e+01
2.575000e+02,1.750000e+02,1.898367e+01,1.132058e+02,6.179424e+01
2.625000e+02,1.580000e+02,1.917163e+01,1.331938e+02,2.480624e+01
2.675000e+02,1.850000e+02,1.935958e+01,1.536039e+02,3.139615e+01
2.725000e+02,1.660000e+02,1.954754e+01,1.733202e+02,-7.320190e+00
2.775000e+02,1.770000e+02,1.973550e+01,1.911104e+02,-1.411038e+01
2.825000e+02,1.640000e+02,1.992346e+01,2.057510e+02,-4.175098e+01
2.875000e+02,1.720000e+02,2.011142e+01,2.161670e+02,-4.416704e+01
2.925000e+02,1.610000e+02,2.029937e+01,2.215649e+02,-6.056488e+01
2.975000e+02,1.780000e+02,2.048733e+01,2.215341e+02,-4.353415e+01
3.025000e+02,1.670000e+02,2.067529e+01,2.161016e+02,-4.910162e+01
3.075000e+02,1.590000e+02,2.086325e+01,2.057269e+02,-4.672690e+01
3.125000e+02,1.590000e+02,2.105120e+01,1.912404e+02,-3.224040e+01
3.175000e+02,1.560000e+02,2.123916e+01,1.737358e+02,-1.773579e+01
3.225000e+02,1.430000e+02,2.142712e+01,1.544357e+02,-1.143573e+01
3.275000e+02,1.630000e+02,2.161508e+01,1.345540e+02,2.844600e+01
3.325000e+02,1.480000e+02,2.180304e+01,1.151751e+02,3.282486e+01
3.375000e+02,1.270000e+02,2.199099e+01,9.716727e+01,2.983273e+01
3.425000e+02,1.490000e+02,2.217895e+01,8.113578e+01,6.786422e+01
3.475000e+02,1.550000e+02,2.236691e+01,6.741746e+01,8.758254e+01
3.525000e+02,1.530000e+02,2.255487e+01,5.610785e+01,9.689215e+01
3.575000e+02,1.700000e+02,2.274282e+01,4.711060e+01,1.228894e+02
3.625000e+02,1.670000e+02,2.293078e+01,4.019659e+01,1.268034e+02
3.675000e+02,1.550000e+02,2.311874e+01,3.506216e+01,1.199378e+02
3.725000e+02,1.620000e+02,2.330670e+01,3.137883e+01,1.306212e+02
3.775000e+02,1.510000e+02,2.349466e+01,2.908692e+01,1.219131e+02
3.825000e+02,1.720000e+02,2.368261e+01,2.765494e+01,1.443451e+02
3.875000e+02,1.710000e+02,2.387057e+01,2.700307e+01,1.439969e+02
3.925000e+02,1.510000e+02,2.405853e+01,2.708730e+01,1.239127e+02
3.975000e+02,1.620000e+02,2.424649e+01,2.795084e+01,1.340492e+02
4.025000e+02,1.790000e+02,2.443444e+01,2.975793e+01,1.492421e+02
4.075000e+02,1.360000e+02,2.462240e+01,3.281582e+01,1.031842e+02
4.125000e+02,1.580000e+02,2.481036e+01,3.754690e+01,1.204531e+02
4.175000e+02,1.570000e+02,2.499832e+01,4.469835e+01,1.123017e+02
4.225000e+02,1.810000e+02,2.518628e+01,5.499347e+01,1.260065e+02
4.275000e+02,1.810000e+02,2.537423e+01,6.944728e+01,1.115527e+02
4.325000e+02,1.770000e+02,2.556219e+01,8.911839e+01,8.788161e+01
4.375000e+02,1.820000e+02,2.575015e+01,1.151195e+02,6.688052e+01
4.425000e+02,2.180000e+02,2.593811e+01,1.484646e+02,6.953537e+01
4.475000e+02,2.160000e+02,2.612606e+01,1.902691e+02,2.573093e+01
4.525000e+02,2.760000e+02,2.631402e+01,2.404679e+02,3.553214e+01
4.575000e+02,3.040000e+02,2.650198e+01,2.989880e+02,5.012024e+00
4.625000e+02,3.540000e+02,2.668994e+01,3.649140e+02,-1.091400e+01
4.675000e+02,4.080000e+02,2.687790e+01,4.365255e+02,-2.852548e+01
4.725000e+02,4.790000e+02,2.706585e+01,5.113579e+02,-3.235788e+01
4.775000e+02,5.720000e+02,2.725381e+01,5.863632e+02,-1.436316e+01
4.825000e+02,6.670000e+02,2.744177e+01,6.581927e+02,8.807251e+00
4.875000e+02,7.680000e+02,2.762973e+01,7.238540e+02,4.414600e+01
4.925000e+02,9.810000e+02,2.781768e+01,7.802615e+02,2.007385e+02
4.975000e+02,1.152000e+03,2.800564e+01,8.258195e+02,3.261805e+02
5.025000e+02,1.248000e+03,2.819360e+01,8.599425e+02,3.880575e+02
5.075000e+02,1.362000e+03,2.838156e+01,8.835475e+02,4.784525e+02
5.125000e+02,1.427000e+03,2.856952e+01,8.989061e+02,5.280939e+02
5.175000e+02,1.496000e+03,2.875747e+01,9.094149e+02,5.865851e+02
5.225000e+02,1.524000e+03,2.894543e+01,9.191606e+02,6.048394e+02
5.275000e+02,1.448000e+03,2.913339e+01,9.323541e+02,5.156459e+02
5.325000e+02,1.393000e+03,2.932135e+01,9.527498e+02,4.402502e+02
5.375000e+02,1.304000e+03,2.950930e+01,9.831141e+02,3.208859e+02
5.425000e+02,1.180000e+03,2.969726e+01,1.024848e+03,1.551522e+02
5.475000e+02,1.118000e+03,2.988522e+01,1.077813e+03,4.018677e+01
5.525000e+02,1.049000e+03,3.007318e+01,1.140382e+03,-9.138208e+01
5.575000e+02,9.740000e+02,3.026114e+01,1.209684e+03,-2.356841e+02
5.625000e+02,9.330000e+02,3.044909e+01,1.281995e+03,-3.489948e+02
5.675000e+02,1.009000e+03,3.063705e+01,1.353187e+03,-3.441871e+02
5.725000e+02,9.910000e+02,3.082501e+01,1.419882e+03,-4.288820e+02
5.775000e+02,1.096000e+03,3.101297e+01,1.477526e+03,-3.815258e+02
5.825000e+02,1.102000e+03,3.120092e+01,1.523564e+03,-4.215641e+02
5.875000e+02,1.130000e+03,3.138888e+01,1.556030e+03,-4.260299e+02
5.925000e+02,1.213000e+03,3.157684e+01,1.573457e+03,-3.604565e+02
5.975000e+02,1.200000e+03,3.176480e+01,1.575543e+03,-3.755430e+02
6.025000e+02,1.296000e+03,3.195275e+01,1.562777e+03,-2.667769e+02
6.075000e+02,1.245000e+03,3.214071e+01,1.536563e+03,-2.915630e+02
6.125000e+02,1.258000e+03,3.232867e+01,1.499343e+03,-2.413430e+02
6.175000e+02,1.278000e+03,3.251663e+01,1.454588e+03,-1.765878e+02
6.225000e+02,1.228000e+03,3.270459e+01,1.407005e+03,-1.790045e+02
6.275000e+02,1.133000e+03,3.289254e+01,1.362283e+03,-2.292834e+02
6.325000e+02,1.095000e+03,3.308050e+01,1.327517e+03,-2.325171e+02
6.375000e+02,1.042000e+03,3.326846e+01,1.310023e+03,-2.680232e+02
6.425000e+02,9.690000e+02,3.345642e+01,1.317086e+03,-3.480859e+02
6.475000e+02,9.760000e+02,3.364437e+01,1.355368e+03,-3.793677e+02
6.525000e+02,1.078000e+03,3.383233e+01,1.429922e+03,-3.519221e+02
6.575000e+02,1.100000e+03,3.402029e+01,1.543351e+03,-4.433511e+02
6.625000e+02,1.285000e+03,3.420825e+01,1.695062e+03,-4.100623e+02
6.675000e+02,1.589000e+03,3.439621e+01,1.880825e+03,-2.918251e+02
6.725000e+02,1.875000e+03,3.458416e+01,2.092646e+03,-2.176465e+02
6.775000e+02,2.246000e+03,3.477212e+01,2.319098e+03,-7.309766e+01
6.825000e+02,2.560000e+03,3.496008e+01,2.546079e+03,1.392114e+01
6.875000e+02,2.957000e+03,3.514804e+01,2.757979e+03,1.990215e+02
6.925000e+02,3.349000e+03,3.533599e+01,2.939102e+03,4.098979e+02
6.975000e+02,3.564000e+03,3.552395e+01,3.074875e+03,4.891250e+02
7.025000e+02,3.788000e+03,3.571191e+01,3.154778e+03,6.332222e+02
7.075000e+02,3.755000e+03,3.589987e+01,3.170891e+03,5.841094e+02
7.125000e+02,3.431000e+03,3.608783e+01,3.120822e+03,3.101777e+02
7.175000e+02,3.449000e+03,3.627578e+01,3.007030e+03,4.419700e+02
7.225000e+02,3.062000e+03,3.646374e+01,2.836148e+03,2.258521e+02
7.275000e+02,2.666000e+03,3.665170e+01,2.618807e+03,4.719312e+01
7.325000e+02,2.309000e+03,3.683966e+01,2.367997e+03,-5.899731e+01
7.375000e+02,1.885000e+03,3.702761e+01,2.097712e+03,-2.127119e+02
7.425000e+02,1.551000e+03,3.721557e+01,1.821466e+03,-2.704658e+02
7.475000e+02,1.236000e+03,3.740353e+01,1.552395e+03,-3.163947e+02
7.525000e+02,1.046000e+03,3.759149e+01,1.300253e+03,-2.542529e+02
7.575000e+02,7.230000e+02,3.777945e+01,1.072640e+03,-3.496400e+02
7.625000e+02,5.960000e+02,3.796740e+01,8.746355e+02,-2.786355e+02
7.675000e+02,4.740000e+02,3.815536e+01,7.085990e+02,-2.345990e+02
7.725000e+02,3.910000e+02,3.834332e+01,5.749108e+02,-1.839108e+02
7.775000e+02,3.100000e+02,3.853128e+01,4.723886e+02,-1.623886e+02
7.825000e+02,3.050000e+02,3.871923e+01,3.988033e+02,-9.380334e+01
7.875000e+02,2.860000e+02,3.890719e+01,3.513400e+02,-6.533997e+01
7.925000e+02,2.710000e+02,3.909515e+01,3.269159e+02,-5.591592e+01
7.975000e+02,2.640000e+02,3.928311e+01,3.223999e+02,-5.839993e+01
8.025000e+02,3.230000e+02,3.947107e+01,3.346985e+02,-1.169846e+01
8.075000e+02,3.060000e+02,3.965902e+01,3.607456e+02,-5.474557e+01
8.125000e+02,3.790000e+02,3.984698e+01,3.974623e+02,-1.846231e+01
8.175000e+02,3.850000e+02,4.003494e+01,4.416915e+02,-5.669150e+01
8.225000e+02,4.940000e+02,4.022290e+01,4.901675e+02,3.832489e+00
8.275000e+02,5.230000e+02,4.041085e+01,5.395389e+02,-1.653894e+01
8.325000e+02,5.600000e+02,4.059881e+01,5.852822e+02,-2.528217e+01
8.375000e+02,6.490000e+02,4.078677e+01,6.270788e+02,2.192120e+01
8.425000e+02,6.740000e+02,4.097473e+01,6.601094e+02,1.389056e+01
8.475000e+02,7.220000e+02,4.116269e+01,6.819829e+02,4.001709e+01
8.525000e+02,7.390000e+02,4.135064e+01,6.915385e+02,4.746149e+01
8.575000e+02,7.570000e+02,4.153860e+01,6.877701e+02,6.922986e+01
8.625000e+02,6.900000e+02,4.172656e+01,6.708372e+02,1.916278e+01
8.675000e+02,6.800000e+02,4.191452e+01,6.417488e+02,3.825122e+01
8.725000e+02,6.420000e+02,4.210247e+01,6.022158e+02,3.978418e+01
8.775000e+02,5.450000e+02,4.229043e+01,5.546330e+02,-9.632996e+00
8.825000e+02,4.820000e+02,4.247839e+01,5.015677e+02,-1.956775e+01
8.875000e+02,3.940000e+02,4.266635e+01,4.457354e+02,-5.173535e+01
8.925000e+02,3.460000e+02,4.285431e+01,3.896995e+02,-4.369949e+01
8.975000e+02,3.470000e+02,4.304226e+01,3.357063e+02,1.129367e+01
9.025000e+02,2.950000e+02,4.323022e+01,2.855218e+02,9.478241e+00
9.075000e+02,2.950000e+02,4.341818e+01,2.403934e+02,5.460663e+01
9.125000e+02,2.120000e+02,4.360614e+01,2.010394e+02,1.096060e+01
9.175000e+02,2.440000e+02,4.379409e+01,1.676970e+02,7.630298e+01
9.225000e+02,2.090000e+02,4.398205e+01,1.401958e+02,6.880421e+01
9.275000e+02,2.080000e+02,4.417001e+01,1.181059e+02,8.989413e+01
9.325000e+02,2.270000e+02,4.435797e+01,1.007672e+02,1.262328e+02
9.375000e+02,2.140000e+02,4.454593e+01,8.744623e+01,1.265538e+02
9.425000e+02,1.910000e+02,4.473388e+01,7.739844e+01,1.136016e+02
9.475000e+02,1.700000e+02,4.492184e+01,6.992702e+01,1.000730e+02
9.525000e+02,1.780000e+02,4.510980e+01,6.442062e+01,1.135794e+02
9.575000e+02,1.470000e+02,4.529776e+01,6.037151e+01,8.662849e+01
9.625000e+02,1.220000e+02,4.548571e+01,5.737853e+01,6.462147e+01
9.675000e+02,1.300000e+02,4.567367e+01,5.513913e+01,7.486087e+01
9.725000e+02,1.040000e+02,4.586163e+01,5.343504e+01,5.056496e+01
9.775000e+02,9.700000e+01,4.604959e+01,5.211531e+01,4.488469e+01
9.825000e+02,7.900000e+01,4.623755e+01,5.107930e+01,2.792070e+01
9.875000e+02,9.800000e+01,4.642550e+01,5.012643e+01,4.787357e+01
9.925000e+02,8.000000e+01,4.661346e+01,4.954708e+01,3.045292e+01
9.975000e+02,7.100000e+01,4.680142e+01,4.908730e+01,2.191270e+01
1.002500e+03,4.900000e+01,4.698938e+01,4.869698e+01,3.030243e-01
1.007500e+03,6.800000e+01,4.717733e+01,4.846751e+01,1.953249e+01
1.012500e+03,7.800000e+01,4.736529e+01,4.831929e+01,2.968071e+01
1.017500e+03,5.700000e+01,4.755325e+01,4.824362e+01,8.756382e+00
1.022500e+03,6.700000e+01,4.774121e+01,4.823014e+01,1.876986e+01
1.027500e+03,5.400000e+01,4.792916e+01,4.826805e+01,5.731945e+00
1.032500e+03,6.400000e+01,4.811712e+01,4.834700e+01,1.565300e+01
1.037500e+03,6.900000e+01,4.830508e+01,4.845769e+01,2.054231e+01
1.042500e+03,7.100000e+01,4.849304e+01,4.859219e+01,2.240781e+01
1.047500e+03,6.100000e+01,4.868100e+01,4.874404e+01,1.225596e+01
1.052500e+03,6.100000e+01,4.886895e+01,4.890818e+01,1.209182e+01
1.057500e+03,7.600000e+01,4.905691e+01,4.908080e+01,2.691920e+01
1.062500e+03,6.300000e+01,4.924487e+01,4.925911e+01,1.374089e+01
1.067500e+03,6.900000e+01,4.943283e+01,4.944113e+01,1.955887e+01
1.072500e+03,8.100000e+01,4.962078e+01,4.962553e+01,3.137447e+01
1.077500e+03,8.700000e+01,4.980874e+01,4.980874e+01,3.719126e+01
1.082500e+03,7.900000e+01,4.999670e+01,4.999670e+01,2.900330e+01
1.087500e+03,8.000000e+01,5.018466e+01,5.018466e+01,2.981534e+01
1.092500e+03,7.800000e+01,5.037262e+01,5.037262e+01,2.762738e+01
1.097500e+03,1.030000e+02,5.056057e+01,5.056057e+01,5.243943e+01
1.102500e+03,8.700000e+01,5.074853e+01,5.074853e+01,3.625147e+01
1.107500e+03,7.900000e+01,5.093649e+01,5.093649e+01,2.806351e+01
1.112500e+03,6.300000e+01,5.112445e+01,5.112445e+01,1.187555e+01
1.117500e+03,7.500000e+01,5.131240e+01,5.131240e+01,2.368760e+01
1.122500e+03,9.200000e+01,5.150036e+01,5.150036e+01,4.049964e+01
1.127500e+03,8.000000e+01,5.168832e+01,5.168832e+01,2.831168e+01
1.132500e+03,7.400000e+01,5.187628e+01,5.187628e+01,2.212372e+01
1.137500e+03,6.600000e+01,5.206424e+01,5.206424e+01,1.393576e+01
1.142500e+03,7.300000e+01,5.225219e+01,5.225219e+01,2.074781e+01
1.147500e+03,6.900000e+01,5.244015e+01,5.244015e+01,1.655985e+01
1.152500e+03,7.600000e+01,5.262811e+01,5.262811e+01,2.337189e+01
1.157500e+03,5.300000e+01,5.281607e+01,5.281607e+01,1.839333e-01
1.162500e+03,5.900000e+01,5.300402e+01,5.300402e+01,5.995975e+00
1.167500e+03,6.400000e+01,5.319198e+01,5.319198e+01,1.080802e+01
1.172500e+03,5.900000e+01,5.337983e+01,5.337983e+01,5.620171e+00
1.177500e+03,4.200000e+01,5.329411e+01,5.329411e+01,-1.129411e+01
1.182500e+03,5.000000e+01,5.320764e+01,5.320764e+01,-3.207642e+00
1.187500e+03,4.500000e+01,5.312042e+01,5.312042e+01,-8.120422e+00
1.192500e+03,4.800000e+01,5.303246e+01,5.303246e+01,-5.032455e+00
1.197500e+03,6.100000e+01,5.294373e+01,5.294373e+01,8.056267e+00
1.202500e+03,6.800000e+01,5.285427e+01,5.285427e+01,1.514573e+01
1.207500e+03,5.500000e+01,5.276405e+01,5.276405e+01,2.235947e+00
1.212500e+03,5.400000e+01,5.267309e+01,5.267309e+01,1.326912e+00
1.217500e+03,5.900000e+01,5.258137e+01,5.258137e+01,6.418629e+00
1.222500e+03,6.100000e+01,5.248890e+01,5.248890e+01,8.511097e+00
1.227500e+03,4.300000e+01,5.239569e+01,5.239569e+01,-9.395687e+00
1.232500e+03,4.700000e+01,5.230172e+01,5.230172e+01,-5.301723e+00
1.237500e+03,6.000000e+01,5.220701e+01,5.220701e+01,7.792988e+00
1.242500e+03,4.400000e+01,5.211155e+01,5.211155e+01,-8.111546e+00
1.247500e+03,6.100000e+01,5.201534e+01,5.201534e+01,8.984661e+00
1.252500e+03,4.200000e+01,5.191837e+01,5.191837e+01,-9.918373e+00
1.257500e+03,4.500000e+01,5.182066e+01,5.182066e+01,-6.820660e+00
1.262500e+03,6.500000e+01,5.172219e+01,5.172219e+01,1.327781e+01
1.267500e+03,4.600000e+01,5.162299e+01,5.162299e+01,-5.622993e+00
1.272500e+03,5.200000e+01,5.152303e+01,5.152303e+01,4.769745e-01
1.277500e+03,6.500000e+01,5.142233e+01,5.142233e+01,1.357767e+01
1.282500e+03,5.900000e+01,5.132085e+01,5.132085e+01,7.679146e+00
1.287500e+03,5.000000e+01,5.121865e+01,5.121865e+01,-1.218655e+00
1.292500e+03,4.600000e+01,5.111569e+01,5.111569e+01,-5.115692e+00
1.297500e+03,5.300000e+01,5.101199e+01,5.101199e+01,1.988010e+00
1.302500e+03,4.500000e+01,5.090753e+01,5.090753e+01,-5.907532e+00
1.307500e+03,5.100000e+01,5.080232e+01,5.080232e+01,1.976776e-01
1.312500e+03,4.900000e+01,5.069637e+01,5.069637e+01,-1.696369e+00
1.317500e+03,5.800000e+01,5.058966e+01,5.058966e+01,7.410336e+00
1.322500e+03,3.500000e+01,5.048220e+01,5.048220e+01,-1.548220e+01
1.327500e+03,4.900000e+01,5.037400e+01,5.037400e+01,-1.374001e+00
1.332500e+03,5.400000e+01,5.026505e+01,5.026505e+01,3.734951e+00
1.337500e+03,3.800000e+01,5.015535e+01,5.015535e+01,-1.215535e+01
1.342500e+03,4.900000e+01,5.004489e+01,5.004489e+01,-1.044888e+00
1.347500e+03,4.600000e+01,4.993369e+01,4.993369e+01,-3.933685e+00
1.352500e+03,4.700000e+01,4.982174e+01,4.982174e+01,-2.821735e+00
1.357500e+03,4.400000e+01,4.970903e+01,4.970903e+01,-5.709030e+00
1.362500e+03,4.800000e+01,4.959559e+01,4.959559e+01,-1.595589e+00
1.367500e+03,4.000000e+01,4.948138e+01,4.948138e+01,-9.481380e+00
1.372500e+03,5.700000e+01,4.936644e+01,4.936644e+01,7.633560e+00
1.377500e+03,5.200000e+01,4.925073e+01,4.925073e+01,2.749271e+00
1.382500e+03,5.400000e+01,4.913429e+01,4.913429e+01,4.865711e+00
1.387500e+03,5.200000e+01,4.901708e+01,4.901708e+01,2.982918e+00
1.392500e+03,4.700000e+01,4.889914e+01,4.889914e+01,-1.899143e+00
1.397500e+03,4.800000e+01,4.878044e+01,4.878044e+01,-7.804413e-01
1.402500e+03,4.600000e+01,4.866099e+01,4.866099e+01,-2.660992e+00
1.407500e+03,3.700000e+01,4.854079e+01,4.854079e+01,-1.154079e+01
1.412500e+03,4.900000e+01,4.841985e+01,4.841985e+01,5.801468e-01
1.417500e+03,4.200000e+01,4.829816e+01,4.829816e+01,-6.298157e+00
1.422500e+03,5.000000e+01,4.817571e+01,4.817571e+01,1.824291e+00
1.427500e+03,4.700000e+01,4.805252e+01,4.805252e+01,-1.052517e+00
1.432500e+03,4.800000e+01,4.792857e+01,4.792857e+01,7.142639e-02
1.437500e+03,4.000000e+01,4.780388e+01,4.780388e+01,-7.803879e+00
1.442500e+03,5.000000e+01,4.767843e+01,4.767843e+01,2.321568e+00
1.447500e+03,6.200000e+01,4.755224e+01,4.755224e+01,1.444776e+01
1.452500e+03,5.400000e+01,4.742530e+01,4.742530e+01,6.574699e+00
1.457500e+03,4.900000e+01,4.729762e+01,4.729762e+01,1.702385e+00
